Priority,State,Office,Rating
1,Arizona,Governor,
2,California,Governor,
3,Colorado,Senate,
4,Florida,Governor,
5,Georgia,Governor,
6,Georgia,Senate,
7,Illinois,Senate,
8,Iowa,Senate,
9,Maine,Senate,
10,Maryland,Governor,
11,Massachusetts,Senate,
12,Michigan,Governor,
13,Michigan,Senate,
14,Minnesota,Governor,
15,Minnesota,Senate,
16,New Hampshire,Senate,
17,New Mexico,Senate,
18,New York,Governor,
19,North Carolina,Senate,
20,Ohio,Governor,
21,Oregon,Senate,
22,Pennsylvania,Governor,
23,Texas,Governor,
24,Texas,Senate,
25,Virginia,Senate,
26,Wisconsin,Governor,
27,Colorado,Governor,
28,Nevada,Governor,
29,Illinois,Governor,
30,Oregon,Governor,
31,Connecticut,Governor,
32,New Hampshire,Governor,
33,Kansas,Governor,
34,New Mexico,Governor,
35,Iowa,Governor,
36,Maine,Governor,
37,Kentucky,Senate,
39,New Jersey,Senate,
40,Florida,Senate,
41,Ohio,Senate,
42,Oklahoma,Senate,
43,Massachusetts,Governor,
44,Delaware,Senate,
45,Rhode Island,Senate,
46,West Virginia,Senate,
47,Alaska,Senate,
48,Kansas,Senate,
49,Nebraska,Senate,
50,South Dakota,Senate,
51,Wyoming,Senate,
52,Alabama,Senate,
53,Arkansas,Senate,
54,Idaho,Senate,
55,Louisiana,Senate,
56,Mississippi,Senate,
57,Montana,Senate,
58,South Carolina,Senate,
59,Tennessee,Senate,
60,Alaska,Governor,
61,Arkansas,Governor,
62,Hawaii,Governor,
63,Idaho,Governor,
64,Nebraska,Governor,
65,Oklahoma,Governor,
66,Rhode Island,Governor,
67,South Carolina,Governor,
68,South Dakota,Governor,
69,Tennessee,Governor,
70,Vermont,Governor,
71,Wyoming,Governor,
72,Alabama,Governor,
73,Arizona,House AZ-01,Toss-Up
74,Arizona,House AZ-06,Toss-Up
75,California,House CA-22,Toss-Up
76,California,House CA-48,Toss-Up
77,Colorado,House CO-08,Toss-Up
78,Iowa,House IA-01,Toss-Up
79,Iowa,House IA-03,Toss-Up
80,Michigan,House MI-07,Toss-Up
81,New Jersey,House NJ-07,Toss-Up
82,New York,House NY-17,Toss-Up
83,Ohio,House OH-01,Toss-Up
84,Ohio,House OH-09,Toss-Up
85,Pennsylvania,House PA-07,Toss-Up
86,Pennsylvania,House PA-10,Toss-Up
87,Texas,House TX-34,Toss-Up
88,Virginia,House VA-02,Toss-Up
89,Washington,House WA-03,Toss-Up
90,Wisconsin,House WI-03,Toss-Up
91,California,House CA-13,Lean D
92,California,House CA-45,Lean D
93,Florida,House FL-23,Lean D
94,Michigan,House MI-08,Lean D
95,Nebraska,House NE-02,Lean D
96,New Mexico,House NM-02,Lean D
97,Nevada,House NV-03,Lean D
98,New York,House NY-03,Lean D
99,New York,House NY-04,Lean D
100,New York,House NY-19,Lean D
101,Ohio,House OH-13,Lean D
102,Texas,House TX-28,Lean D
103,Virginia,House VA-07,Lean D
104,North Carolina,House NC-01,Lean D
105,New Jersey,House NJ-09,Lean R
106,Michigan,House MI-10,Lean R
107,Pennsylvania,House PA-08,Lean R
108,Virginia,House VA-01,Lean R
109,California,House CA-21,Likely D
110,Indiana,House IN-01,Likely D
111,Minnesota,House MN-02,Likely D
112,New Hampshire,House NH-01,Likely D
113,New Hampshire,House NH-02,Likely D
114,Nevada,House NV-01,Likely D
115,Nevada,House NV-04,Likely D
